Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'293801394276,title,pt-PT,,,"Collars","Colares"
COLLECTION,'293801394276,body_html,pt-PT,,,"<p>Collection Collars</p>","<p>Coleção Colares</p>"
COLLECTION,'293801394276,handle,pt-PT,,,"collars","colares"
COLLECTION,'294676168804,title,pt-PT,,,"Dogs","Cães"
COLLECTION,'294676168804,body_html,pt-PT,,,"<p>Collection Dogs</p>","<p>Coleção Cães</p>"
COLLECTION,'294676168804,handle,pt-PT,,,"dogs","cães"
DELIVERY_METHOD_DEFINITION,'102476447844,name,pt-PT,,,"Standard Shipping","Envio Padrão"
DELIVERY_METHOD_DEFINITION,'102476480612,name,pt-PT,,,"Heavy Goods Shipping","Transporte de Mercadorias Pesadas"
DELIVERY_METHOD_DEFINITION,'102476513380,name,pt-PT,,,"International Shipping","Envio Internacional"
FILTER,'6948978788,label,pt-PT,,,"Availability","Disponibilidade"
FILTER,'6949011556,label,pt-PT,,,"Price","Preço"
FILTER,'60079341668,label,pt-PT,,,"Size","Tamanho"
FILTER,'60079407204,label,pt-PT,,,"Product type","Tipo de Produto"
FILTER,'60188065892,label,pt-PT,,,"Color","Cor"
LINK,'130168553572,title,pt-PT,,,"Search","Pesquisar"
LINK,'501160345700,title,pt-PT,,,"Orders","Pedidos"
LINK,'512882966628,title,pt-PT,,,"Shop","Loja"
LINK,'521790455908,title,pt-PT,,,"New","Novo"
LINK,'521790488676,title,pt-PT,,,"Dogs","Cães"
LINK,'521790521444,title,pt-PT,,,"Cats","Gatos"
LINK,'521790554212,title,pt-PT,,,"About Us","Sobre Nós"
METAFIELD,'34656067125348,value,pt-PT,,,"{""tone"":""expert"",""toneDescription"":""""}","{""tone"":""experto"",""toneDescription"":""""}"
METAFIELD,'34664912322660,value,pt-PT,,,"The collar features a new technology with ultra-protective external PVC rubber called NeoPro, which is resistant to water and weather conditions, preventing the collar from getting dirty, wet, or scratched.","A colar apresenta uma nova tecnologia com um material externo de PVC recoberto de NeoPro, que é resistente à água e a condições meteorológicas, impedindo que o colar se enjaune, encharque ou se abraste."
METAFIELD,'34665500475492,value,pt-PT,,,"[""s"",""m"",""l""]","[""p"",""m"",""g""]"
METAFIELD,'34665665658980,value,pt-PT,,,"Amazonia","Amazonas"
METAFIELD,'34665665691748,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'34665665724516,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'35410417844324,value,pt-PT,,,"[""gid://shopify/MediaImage/26606008238180"",""gid://shopify/MediaImage/26606008205412"",""gid://shopify/MediaImage/26606008303716"",""gid://shopify/MediaImage/26606008270948""]",""
METAFIELD,'35410499895396,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of soft and durable polyester""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fully adjustable""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Soft on your dog’s fur""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Buckle built with a 4-point lock system for added safety""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Crisp and bright colors""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Rubber logo protects stitches for longer durability""}]}]}]}","{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Feito de poliéster macio e durável""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Ajustável ao longo da sua totalidade""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Moleque para a pelagem do seu cachorro""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fiveloca de fechoamento com um sistema de segurança de 4 pontos""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cores limpas e brilhantes""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Logo de borracha que protege as costuras para uma durabilidade maior""}]}]}]}"
METAFIELD,'35925776105572,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
